name,name_kr,bre_name,country,대분류,소분류,abv,image
222-1 Daero IPA,,Made In PONG DANG,KR,ALE,American IPA,6.5,222.jpg
226 Golden Ale,이이육,Weizenhaus,KR,ALE,Golden Ale,4,226.png
Way Home 24365,퇴근길 24365,Platinum Craft Beer,KR,PILSNER,German Pilsner,4.7,24365.jpg
365 IPA,,The Hand and Malt Brewing Company,KR,ALE,India Pale Ale,6.5,365IPA.jpg
Mr.Black Coffee & Chocolate Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Imperial Stout,10.5,50205_MRB_CCIS_AIS.jpg
Mr. Black Coconut Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Imperial Stout,10.5,50205_MRB_CIS_AIS.jpg
Mr.Black Coffee Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_CS.jpg
Mr.Black Coffee & Cinnamon Imperial Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,11,50205_MRB_CSIS_AS.PNG
MysterLee / Deep Blue Lake Mr. Black Deep Blending Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_DB_S.jpg
Mr.Black Vanilla & Cacao Nibs Porter,,MysterLee Brewing Co.,KR,PORTER,American Porter,5.9,50205_MRB_VCNP.jpg
Mr.Black Vanilla Stout,,MysterLee Brewing Co.,KR,STOUT,American Stout,5.9,50205_MRB_VS.jpg
Mr.Green Galaxy Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_GPA_APA.jpg
MR.GREEN Hazy West Coast Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_HWC_PA.jpg
Mr.Green Motueka Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_M_PA.jpg
Mr.Green NE Style Pale Ale (#02),,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.9,50205_MRG_NES_APA_#2.jpg
Me.Green NE Style IPA (Vermont Yeast),,MysterLee Brewing Co.,KR,ALE,English India Pale Ale (IPA),7.1,50205_MRG_NES_IPA.jpg
Mr.Green NE Style IPA,,MysterLee Brewing Co.,KR,ALE,American IPA,7,50205_MRG_NES_IPA.PNG
Mr.Green NE Style IPA (#02),,MysterLee Brewing Co.,KR,ALE,American IPA,6.5,50205_MRG_NES_IPA_#2.jpg
Mr.Green NE Style IPA (#03),,MysterLee Brewing Co.,KR,ALE,American IPA,6.8,50205_MRG_NES_IPA_#3.jpg
Mr.Green NE Style Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_NES_PA.jpg
Mr.Green NE Style Double IPA,,MysterLee Brewing Co.,KR,ALE,American Imperial IPA,8.1,50205_MRG_NESD_IPA.PNG
Mr.Green Passion Fruits Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.6,50205_MRG_PF_PA.jpg
Mr.Green Simcoe Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),5.3,50205_MRG_S_PA.jpg
Mr.Green West Coast IPA #02,,MysterLee Brewing Co.,KR,ALE,American IPA,6.6,50205_MRG_WC_IPA_#2.jpg
Mr.Purple Hefe Weizen,,MysterLee Brewing Co.,KR,WEIZEN,German Hefeweizen,5,50205_MRP_HW_GH.PNG
Mr.Purple Idaho7 Table Sour,,MysterLee Brewing Co.,KR,ALE,American Wild Ale,3,50205_MRP_ITS_AWA.jpg
Mr.Purple Motueka Table Sour,,MysterLee Brewing Co.,KR,ALE,American Wild Ale,3,50205_MRP_MTS.jpg
Mr. Purple Sour,,MysterLee Brewing Co.,KR,ALE,American Wild Ale,3,50205_MRP_S.jpg
Mr.Purple Simcoe Table Sour,,MysterLee Brewing Co.,KR,ALE,American Wild Ale,3,50205_MRP_STS.jpg
Mr.Purple Tropicana Table Sour,,MysterLee Brewing Co.,KR,ALE,American Wild Ale,3.2,50205_MRP_TTS_AWA.jpg
Mr.Purple x Green Sour Pale Ale,,MysterLee Brewing Co.,KR,ALE,American Pale Ale (APA),4.2,50205_MRPG_SPA_APA.jpeg
Mr.Yellow Amber Lager,,MysterLee Brewing Co.,KR,LAGER,Vienna Lager,5.8,50205_MRY_AL.jpg
MR.YELLOW Portland Style Pilsner,,MysterLee Brewing Co.,KR,PILSNER,German Pilsner,5.5,50205_MRY_PSP.jpg
72 Seconds Rye IPA,칠십이초,The Booth Brewing,KR,ALE,Rye IPA,6.2,72s.jpg
Gompyo,곰표,7brau,KR,WEIZEN,Weizen,4.5,7gompyo.jpg
Hangang,한강,7brau,KR,WEIZEN,Weizen,5.2,7hangang.png
HEUNG-CHUNG-MANG-CHUNG,흥청망청,7brau,KR,LAGER,Lager,5,7hcmc.jpg
Imperial I.P.A.,일페리얼 IPA,7brau,KR,ALE,American Imperial IPA,7,7imperialipa.png
India Pale Ale (IPA),인디아 페일 에일,7brau,KR,ALE,English India Pale Ale (IPA),5.5,7IPA.png
"Mac A, the",맥아더,7brau,KR,ALE,American Pale Ale (APA),4.7,7macathe.png
Pilsner,필스너,7brau,KR,PILSNER,German Pilsner,5,7pilsner.png
Seocho,서초,7brau,KR,LAGER,Lager,4.2,7seocho.jpg
Seoul,서울,7brau,KR,LAGER,Lager,5,7seoul.png
Stout,스타우트,7brau,KR,STOUT,Stout,5,7stout.jpg
Weizen,바이젠,7brau,KR,WEIZEN,Weizen,4.2,7weizen.png
Yang Pyeng,양평,7brau,KR,LAGER,Pale Lager,4.5,7yangpyeng.jpg
Ark Be High IPA,,Korea Craft Brewery,KR,ALE,American IPA,7,abh.jpg
A Bird In The Hand,,Magpie Brewing,KR,ALE,Rye Pale Ale,6,abird.png
Amazing IPA,,Amazing Brewing Company,KR,ALE,American IPA,6.2,aipa.png
Aleston Brown Ale,,"Oriental Brewery Co., Ltd",KR,ALE,English Brown Ale,5.2,alestonbrownale.jpg
Aleston Black Ale,,"Oriental Brewery Co., Ltd",KR,ALE,English Dark Mild Ale,5,alestonbrownale.jpg
Apple Waffle Belgian Blonde,,Made In PONG DANG,KR,ALE,Belgian Blonde Ale,4.6,applewaffle.jpg
Ark Lager,,Korea Craft Brewery,KR,LAGER,Pale Lager,5,Arklager.png
Ark Pale Ale,,Korea Craft Brewery,KR,ALE,Pale Ale,5,arkpaleale.png
Asiana,,Korea Craft Brewery,KR,ALE,India Pale Ale,4.7,asiana.png
Amber Ale,,Budnamu Brewery,KR,ALE,American Amber / Red Ale,6.2,baa.jpeg
Baby Sour,,Gorilla Brewing Company,KR,ETC,Sour,4.3,baby.png
Baekdusan Hefeweizen,백두사 하프바이젠,Craftworks Taphouse,KR,WEIZEN,German Hefeweizen,4.5,baekdu.jpg
BangMoon I.P.A,방문 IPA,Weizenhaus,KR,ALE,India Pale Ale,6.3,bangmoon.png
Barreal,,Hite Brewery Company LTD,JP,ETC,Japanese Happoshu,5,barreal.jpg
Barreal 50%,,Hite Brewery Company LTD,JP,ETC,Japanese Happoshu,4,barreal50.jpg
Brew Bro IPA,브루브로 IPA,The Booth Brewing,KR,ALE,American IPA,5.3,bb.jpg
Baegilhong Red Ale,백일홍 레드 에일,Budnamu Brewery,KR,ALE,Red Ale,6,bbh.png
Belgian Dubbel,,The Hand and Malt Brewing Company,KR,ALE,Belgian Pale Ale,7,bdubbel.jpg
Bermuda Saison,버뮤다 세종,The Booth Brewing,KR,ETC,Saison,6.8,be.jpg
Beck's,벡스,Brauerei Beck & Co.,DE,PILSNER,German Pilsner,5,becks.jpg
Belgian Blond Ale,,Made In PONG DANG,KR,ALE,Belgian Blonde Ale,4.6,belgianblonde.jpg
Napa Dubbel,,The Hand and Malt Brewing Company,KR,ETC,Belgian Dubbel,7.2,belgiandubbel.jpg
Belgian Wit,,The Hand and Malt Brewing Company,KR,ETC,Belgian Witbier,5,belgianwit.jpg
Bella IPA,,Wild Waves Brewing,KR,ETC,Belgian Rye,7,bella.jpg
Bergen Brau,,"Oriental Brewery Co., Ltd",KR,ETC,Japanese Happoshu,5.5,bergenbrau.jpg
Basil Gose,바질 고제,The Booth Brewing,KR,ETC,Leipzig Gose,4.5,bg.jpg
Blackhole Stout,,Wild Waves Brewing,KR,STOUT,American Stout,6.5,bhs.jpg
Brett IPA,브렛 IPA,The Booth Brewing,KR,ALE,Double IPA,7.1,bipa.png
Bird Food,까치밥,Magpie Brewing,KR,ALE,American IPA,6,birdfood.jpg
Black Beer Stout,블랙 스타우트,Hite Brewery Company LTD,KR,ETC,German Schwarzbier,5,blackbeerstout.jpg
Brown Sugar Milky Stout,흑당 밀키 스타우트,Platinum Craft Beer,KR,STOUT,Stout,5.4,blacksu.png
Blanche De Hwado,,The Hand and Malt Brewing Company,KR,ETC,Belgian Witbier,5,blanche.jpg
Blue Girl Beer,,"Oriental Brewery Co., Ltd",KR,LAGER,American Adjunct Lager,5,bluegirlbeer.png
Blue Moon Belgian White,블루문,Coors Brewing Company,US,ETC,Belgian Witbier,5.4,blumoon.jpg
Minori Session,,Budnamu Brewery,KR,ALE,India Pale Ale,4.5,bm.png
Ojunk Stout,오죽 Stout,Budnamu Brewery,KR,STOUT,Stout,7.4,bo.jpeg
MR.Bock,,Platinum Craft Beer,KR,ETC,Bock,6.7,bock.jpg
Boilermaker Kolsch,보일러메이커 쾰쉬,The Booth Brewing,KR,ALE,Double IPA,5.5,boil.jpg
Bourbon Country Stout,,Goose Island Beer Co.,US,STOUT,Bourbon Barrel-aged Imperial Stout,13.8,bourbon.jpg
Baltic Porter,,Budnamu Brewery,KR,PORTER,Baltic Porter,7.5,bpp.png
Bring Spring,봄마실,Magpie Brewing,KR,ETC,Saison,4,bringspring.jpg
Ark BROWN,브라운,Korea Craft Brewery,KR,ALE,Golden Ale,4.3,brown.jpg
Barrel Session IPA,배럴 세션 IPA,The Booth Brewing,KR,ALE,Session IPA,4.7,bs.jpg
Into The Barrel Artisan Project Bourbon Buddha,,Made In PONG DANG,KR,STOUT,American Imperial Stout,8,buddha.png
Haseulla IPA,,Budnamu Brewery,KR,ALE,American IPA,6.1,budhipa.png
Bud Ice,버드아이스,Anheuser-Busch,US,LAGER,American Adjunct Lager,5.5,budice.jpg
Budweiser,버드와이저,Anheuser-Busch,US,LAGER,American Adjunct Lager,5,Budweiser.jpg
Bukhansan Pale Ale,북한산 페일 에일,Craftworks Taphouse,KR,ALE,American Pale Ale (APA),4.5,bukhansan.jpg
Bullock Castle I.P.A,우성 아이피에이,Weizenhaus,KR,ALE,India Pale Ale,6.3,bullock.png
Bulssajo,불싸조,Korea Craft Brewery,KR,ALE,Ale,5,bulssajo.png
Busan Pale Ale,부산 Pale Ale,Gorilla Brewing Company,KR,ALE,American Pale Ale,4.3,busanpa.jpg
Cafri,카프리,"Oriental Brewery Co., Ltd",KR,LAGER,American Light Lager,4.2,cafri.png
Campfire Amber,캠프파이어 앰버,Galmegi Brewing,KR,ALE,American Amber / Red Ale,5,camp.jpg
Canita,카니타,Hite Brewery Company LTD,KR,LAGER,American Lager,4.3,canita.jpg
Cass Fresh,카스 프레시,"Oriental Brewery Co., Ltd",KR,LAGER,American Adjunct Lager,4.5,cassfresh.jpg
Cass Light,,"Oriental Brewery Co., Ltd",KR,LAGER,American Lager,4,casslight.jpg
Cass Red,카스 레드,"Oriental Brewery Co., Ltd",KR,ETC,American Malt Liquor,6.9,cassred.jpg
Cass Lemon,카스 레몬,"Oriental Brewery Co., Ltd",KR,LAGER,American Adjunct Lager,3.9,cassremon.jpg
Black Swan,,Korea Craft Brewery,KR,STOUT,Irish Dry Stout,4.5,cbw.jpeg
Crystal Clear Weizen,맑디 맑은 바이젠,Amazing Brewing Company,KR,WEIZEN,German Weizenbock,5.5,ccw.png
Cosmic Dancer,,Korea Craft Brewery,KR,ALE,American IPA,5.5,cdancer.jpeg
Single Hop Series: Centennial Pale Ale,,Made In PONG DANG,KR,ALE,American Pale Ale (APA),4.6,centennial.jpg
Changwon Express Chao Phraya Stout,,The Hand and Malt Brewing Company,KR,STOUT,English Stout,5.4,changwon.jpg
Changwon Express Asoke Pale Ale,,The Hand and Malt Brewing Company,KR,ALE,American Pale Ale (APA),4.7,changwonasoke.jpg
Chimmeliale,치믈리에일,The Booth Brewing,KR,ALE,Pale Ale,5,chi.jpg
Universe Chocolate Stout,,Made In PONG DANG,KR,STOUT,American Stout,6.8,chocolatestout.jpg
Gwanghwamun,광화문,Korea Craft Brewery,KR,ALE,Red Ale,5,ckghm.png
Ark Classic,,Korea Craft Brewery,KR,WEIZEN,Hefeweizen,4.3,classic.png
Combat Zone,,Maloney's Brewing Co.,KR,ALE,American IPA,7.5,combat.jpg
Ark CONY,코니,Korea Craft Brewery,KR,WEIZEN,Hefeweizen,4.5,cony.png
Coors Light,쿠어스라이트,Coors Brewing Company,US,LAGER,American Light Lager,4.2,coors.jpg
Corona Extra,코로나 엑스트라,Grupo Modelo S.A. de C.V.,MX,LAGER,American Adjunct Lager,4.5,coronaextra.jpeg
Citra Pale Ale,,Brew One,KR,ALE,American Pale Ale (APA),4.8,cpa.png
Daehan Session IPA,대한,Platinum Craft Beer,KR,ALE,India Pale Ale,4.7,daehan.jpg
Dark Ambition,흑심,Amazing Brewing Company,KR,STOUT,American Stout,6.5,darkam.jpg
Dark Night,다크나이트,Weizenhaus,KR,PORTER,Porter,5.5,darknight.png
Dancing Cow Milk Stout,흥맥주,The Booth Brewing,KR,STOUT,Milk Stout,5,dcms.jpg
DCT Amber Ale,DCT 앰버에일,The Booth Brewing,KR,ALE,Amber Ale,5.3,dct.jpg
Devil's Pale Ale,,Devil's Door Brewery,KR,ALE,American Pale Ale (APA),4.6,devilpa.jpg
Devil's Stout,,Devil's Door Brewery,KR,STOUT,English Stout,5,devilst.png
Ark Dong Bing Go,동빙고,Korea Craft Brewery,KR,ETC,German Bock,8.5,dong.jpeg
Driftwood Porter,,Galmegi Brewing,KR,PORTER,American Porter,5.5,driftwood.jpeg
Dry Finish D,드라이 피니쉬 디,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,5,dryfinishd.jpg
Da Wheat,,Brew One,KR,STOUT,American Stout,6,dw.jpg
Single Hop Series: Equinox Dry-Hopped Pale Ale,,Made In PONG DANG,KR,ALE,American Pale Ale (APA),4.6,equinox.jpg
Eureka Seoul Idaho 7 Hop Ale,유레카서울 아이다호7 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,es.jpg
Eureka Seoul Centennial Hop Ale,유레카서울 센테니얼 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,esc.jpg
Eureka Seoul Loral Hop Ale,유레카서울 로랄 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,eslh.jpg
Exfeel S,익스펠 에스,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.1,exfeels.jpg
Espresso Vanilla Stout,에스프레소 바닐라 스타우트,Galmegi Brewing,KR,STOUT,English Stout,5.5,expresso.png
Espresso Porter,,PYRUS Taproom & Bistro,KR,PORTER,American Porter,4.5,expressopo.jpg
Espresso Stout,,Made In PONG DANG,KR,STOUT,American Stout,6.5,expressostout.jpg
Extra Special Ale,,The Hand and Malt Brewing Company,KR,ETC,English Extra Special / Strong Bitter (ESB),5.7,extraspecial.jpg
Feel me,필미,Weizenhaus,KR,PILSNER,Pilsner,4.5,feelme.png
Fun Follower Witbier,재미주의자 윗비어,The Booth Brewing,KR,ETC,Belgian Witbier,4.9,ffw.jpg
FilGood,필굿,"Oriental Brewery Co., Ltd",KR,ETC,etc,4.5,filgood.jpg
FiLite,필라이트,Hite Brewery Company LTD,KR,ETC,Japanese Happoshu,4.5,filte.jpg
Fitz Super Clear,피츠 수퍼클리어,Lotte Liquor,KR,LAGER,European Pale Lager,4.5,fitz.jpg
First Love,첫사랑,Amazing Brewing Company,KR,ALE,New England IPA,6.5,fl.png
Flower Power Pilsner,,The Hand and Malt Brewing Company,KR,PILSNER,German Pilsner,5.2,flower.jpeg
Franziskaner Weissbier Natur,프란치스카너,Spaten-Franziskaner-Brau,DE,ETC,Weissbier,5,franziskanerweissbiernatur.jpg
Full of Fall,가을가득,Magpie Brewing,KR,ETC,Rye Amber,5.5,fulloffall.jpg
Galmegi IPA,달매기 아이피에이,Galmegi Brewing,KR,ALE,American IPA,6.5,galmegi.jpg
Gangseo,강서,7brau,KR,ALE,American Pale Ale (APA),4.6,gangseo.png
Galaxy Bomb,갤러시밤,The Booth Brewing,KR,ALE,American Pale Ale (APA),5.25,gb.jpg
Blonde Ale,,Gorilla Brewing Company,KR,ALE,Blonde Ale,5.2,gba.png
Blackcurrant Gose,,Gorilla Brewing Company,KR,ETC,Sour,4.1,gbg.jpeg
Geumgang Mountain Dark Ale,금강산 다크 에일,Craftworks Taphouse,KR,ALE,American Black Ale,4.6,Geumgang.jpg
Gwangalli Wheat,광안리 Wheat,Gorilla Brewing Company,KR,ETC,Wheat Beer,4.7,ggwb.png
Gyunglidan Hipster Ale,경리단힙스터 에일,The Booth Brewing,KR,ALE,Session IPA,4.5,gha.jpg
The Ghost,고스트,Magpie Brewing,KR,ETC,Leipzig Gose,4.5,ghost.jpg
Gillian,,Goose Island Beer Co.,US,ALE,Belgian Farm House Ale,7.5,gillian.jpg
Galaxy IPA,,Pogona Brewing Company,KR,ALE,American IPA,6.5,gipa.jpg
Gorillager,고릴라거,Gorilla Brewing Company,KR,LAGER,Lager,4.7,glager.jpg
London IPA,,Gorilla Brewing Company,KR,ALE,American IPA,5.8,glipa.jpg
Gorilla IPA,,Gorilla Brewing Company,KR,ALE,American IPA,5.4,goipa.png
Goose 312 Urban Wheat,,Goose Island Beer Co.,US,ALE,American Wheat Ale,4.2,goose312.jpg
Goose Four Star Pils,,Goose Island Beer Co.,US,LAGER,Pilsner Lager,5.1,goosefoutstar.jpg
Goose Green Line,,Goose Island Beer Co.,US,ALE,American Pale Ale,5.4,goosegreenline.jpg
Goose Honkers Ale,,Goose Island Beer Co.,US,ETC,English Style Bitter,4.3,goosehonkers.jpg
Goose IPA,,Goose Island Beer Co.,US,ALE,India Pale Ale,5.9,gooseIPA.jpg
Raspberry Wheat,,Gorilla Brewing Company,KR,WEIZEN,Hefeweizen,6.2,gr.png
Sour IPA,,Gorilla Brewing Company,KR,ALE,India Pale Ale,6.2,gsipa.png
British Stout,,Gorilla Brewing Company,KR,STOUT,English Stout,6.3,gstout.jpg
Gyurriden Ale,규리든 Ale,Jespi - Jeju Beer Land,KR,ALE,Golden Ale,4.5,gur.jpg
Haeundae,해운대,Korea Craft Brewery,KR,ETC,Fruit Beer,4.2,hae.png
Halia,,Goose Island Beer Co.,US,ALE,Belgian Farm House Ale,7.5,halia.jpg
Halla Mountain Golden Ale,한라산 골든 에일,Craftworks Taphouse,KR,ETC,English Bitter,4.6,halla.jpg
Harbin,하얼빈,Harbin Brewery Group,CN,LAGER,European Pale Lager,4.3,Harbin.png
Harvest IPA,,The Hand and Malt Brewing Company,KR,ALE,India Pale Ale,7.4,harvest.jpg
One Big Pot Sour Ale,한솥밥,The Booth Brewing,KR,ALE,Sour Ale,6.6,has.jpg
Hop Bomb,,Gorilla Brewing Company,KR,ALE,India Pale Ale,8.5,hb.jpg
Herry Porter,해리포터,Weizenhaus,KR,PORTER,Porter,5.5,herryporter.png
Hibi Passion Sour,,Gorilla Brewing Company,KR,ETC,Sour,3.7,hibi.png
Hite,하이트 엑스트라 콜드,Hite Brewery Company LTD,KR,LAGER,European Pale Lager,4.5,hite.jpg
Hite Extra Cold,하이트 엑스트라 콜드,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.3,hiteextacold.jpg
Hite Pale Lager,하이트 페일 라거,Hite Brewery Company LTD,KR,LAGER,European Pale Lager,4.3,hitepalelager.jpg
Hite Zero,하이트 제로,Hite Brewery Company LTD,KR,ETC,Low Alcohol Beer,0,hitezero.jpg
Hey Jude Hop Ale,헤이쥬드 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.6,hj.jpg
Eureka Seoul Huell Melon Hop Ale,유레카서울 휴멜론 홉에일,The Booth Brewing,KR,ALE,Hop Ale,6.5,hm.jpg
Happy New Bier,새해종 팜하우스 에일,The Booth Brewing,KR,ALE,Farmhouse Ale,6,hnb.jpg
Hoegaarden,호가든,Brouwerij van Hoegaarden,BE,ETC,Belgian Witbier,4.9,hoegaarden.jpg
Hoppy Brown,,Made In PONG DANG,KR,ALE,American Brown Ale,5.6,hoppy.jpg
Hangang Saison,한강 세종,The Booth Brewing,KR,ETC,Saison,5.5,hs.jpg
Hug Me,,Korea Craft Brewery,KR,ETC,Belgian Witbier,5.5,hugme.jpg
Inseng Pale Ale,인생에일,Platinum Craft Beer,KR,ALE,Pale Ale,5.2,inseng.jpg
Strong Ale,,Jespi - Jeju Beer Land,KR,ALE,Belgian Blonde Ale,6.5,jb.png
Jane Eyre Amber Ale,제인 에어 앰버에일,The Booth Brewing,KR,ALE,Amber Ale,6,jeaa.jpg
Jameson Barrel Aged Amazing IPA,,Amazing Brewing Company,KR,ALE,India Pale Ale,6,jipa.jpg
Jirisan Moon Bear IPA,지리산 반달곰 IPA,Craftworks Taphouse,KR,ALE,American IPA,6.8,jirisan.jpg
Lager,,Jespi - Jeju Beer Land,KR,LAGER,Amber Lager,4.5,jl.png
Pale Ale,,Jespi - Jeju Beer Land,KR,ALE,American Pale Ale,4.5,jpa.png
Stout,,Jespi - Jeju Beer Land,KR,STOUT,Stout,5,js.png
Juicy Box,주시박스,Magpie Brewing,KR,ALE,Sour Ale,4.5,juicybox.jpg
Juliet,,Goose Island Beer Co.,US,ALE,Belgian Wild Ale,7.1,juliet.jpg
Weizen,,Jespi - Jeju Beer Land,KR,WEIZEN,Hefeweizen,5,jw.png
Surf Man APA,,Korea Craft Brewery,KR,ALE,American Pale Ale (APA),5,kcsm.jpeg
Kukmin Fresh,국민 프레시,The Booth Brewing,KR,ALE,Session IPA,5,kf.jpg
Kukmin IPA,국민 IPA,The Booth Brewing,KR,ALE,India Pale Ale,6.5,ki.jpg
Kieuk IPA,ㅋ IPA (장기하맥주),The Booth Brewing,KR,ALE,Session IPA,4.5,kie.jpg
King Kong Imperial Stout,,Gorilla Brewing Company,KR,STOUT,Russian Imperial Stout,12,kkis.jpg
Kloud Original Gravity,클라우드,Lotte Liquor,KR,PILSNER,German Pilsner,5,kloud.jpg
Kloud Draft Original Gravity,클라우드 생 드래프트,Lotte Liquor,KR,LAGER,Lager,4.5,klouddraft.jpg
Korea Pale Ale,코리아 페일 에일,7brau,KR,LAGER,Pale Lager,4.5,koreapaleale.jpg
KPA,,Gorilla Brewing Company,KR,ALE,Pale Ale,5.5,kpa.jpg
Spring Rain Ale,봄비 에일,The Booth Brewing,KR,ALE,Kolsch Style Ale,5,ksa.jpg
K-Weiss,,The Hand and Malt Brewing Company,KR,ALE,Sour Ale,4,k-weiss.jpg
Last Night,,Korea Craft Brewery,KR,ALE,Pale Ale,5,lastnight.png
Lazy Sunday,,Amazing Brewing Company,KR,LAGER,Pale Lager,4.6,lazy.jpg
Leffe Blonde,레페 블론드,Abbaye de Leffe S.A.,BE,ALE,Belgian Blonde Ale,6.5,leffeblonde.jpg
Leffe Brown,레페 브라운,Abbaye de Leffe S.A.,BE,ALE,Belgian Dark Ale,6.5,leffebrown.jpg
LGBTQ Smoothie IPA,,The Booth Brewing,KR,ALE,Smoothie IPA,7.4,lgbtq.jpg
Lifetime Pale Ale,인생 페일에일,The Booth Brewing,KR,ALE,American Pale Ale (APA),5,life.jpg
Lighthouse Blonde,라이트하우스 블론드,Galmegi Brewing,KR,ALE,Belgian Blonde Ale,4.5,lighthouse.png
Lightning,번개,Magpie Brewing,KR,ETC,Pumpkin Beer,9,lightning.jpg
Lolita,,Goose Island Beer Co.,US,ALE,Belgian Wild Ale,7.5,lolita.jpg
Lowenbrau,레벤브로이,October Fest,DE,ETC,German Helles,5.2,Lowenbrau.jpg
Mango Lingo,망고링고,Hite Brewery Company LTD,KR,ETC,Fruit and Field Beer,2.5,mangolingo.png
Matilda,,Goose Island Beer Co.,US,ALE,Belgian Pale Ale,7,matilda.jpg
Mawang Imperial Stout,마왕 임페이얼 스타우트,The Hand and Malt Brewing Company,KR,STOUT,Stout,9.5,mawang.jpg
Max,맥스,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.5,max.png
Mint Chocolate Rye Porter,민트초코 라이포터,The Booth Brewing,KR,PORTER,Porter,5.2,mcr.jpg
Mill Ddang,밀땅,Amazing Brewing Company,KR,WEIZEN,Hefeweizen,5.5,mil.jpg
Muke Session Mild IPA,무케 세션 순한 IPA,Platinum Craft Beer,KR,ALE,India Pale Ale,4.7,mild.jpg
Miller Genuine Draft,밀러 제뉴인 드래프트,Miller Brewing Co.,US,LAGER,American Adjunct Lager,4.66,miller.jpg
IPA,맥파이 아이피에이,Magpie Brewing,KR,ALE,American IPA,6.5,mipa.jpg
Kolsch,맥파이 쾰시,Magpie Brewing,KR,ETC,Kolsch,4.8,mkolsch.png
Mocha Stout,,The Hand and Malt Brewing Company,KR,STOUT,American Stout,5,mocha.jpg
MomoAle,모모에일,Weizenhaus,KR,ALE,Pale Ale,4.5,momoale.png
Moonrise Pale Ale,문라이즈 페일에일,Galmegi Brewing,KR,ALE,American Pale Ale (APA),5,moon.jpg
Mosaic Bomb! IPA,,Made In PONG DANG,KR,ALE,American IPA,6.5,mosaicbomb.jpg
Pale Ale,맥파이 페일 에일,Magpie Brewing,KR,ALE,American Pale Ale (APA),4.8,mpaleale.png
Namsan Pure Pilsner,남산 필스너,Craftworks Taphouse,KR,ETC,Bohemian Pilsener,4.6,namsan.jpg
Netflix And Chill,집비어(집Beer),The Booth Brewing,KR,ALE,Irish Red Ale,5.4,ne.jpg
Nightwalk,밤마실,Weizenhaus,KR,ALE,Brown Ale,5,nightwalk.png
Normcore IPA,,Made In PONG DANG,KR,ALE,American IPA,5.8,normcore.jpg
IPO Not IPA,IPA 아니고 IPO,The Booth Brewing,KR,LAGER,Hoppy Lager,5.7,not.jpg
OB Golden Lager,,"Oriental Brewery Co., Ltd",KR,LAGER,European Pale Lager,4.5,OBgoldenlager.jpg
OB Premier Pilsner,오비 프리미어,"Oriental Brewery Co., Ltd",KR,PILSNER,German Pilsner,5.2,OBpremier.jpg
Ocean,,Gorilla Brewing Company,KR,ALE,India Pale Ale,5.7,ocean.jpg
Old Pals,동네친구,Magpie Brewing,KR,PILSNER,German Pilsner,5,oldpals.jpg
The One Beer,절대맥주,The Booth Brewing,KR,ALE,Hop Ale,6.2,one.jpg
One More Pils,,PYRUS Taproom & Bistro,KR,PILSNER,German Pilsner,4.8,onemorepils.png
Orangey,,The Hand and Malt Brewing Company,KR,STOUT,American Stout,4.7,orangey.jpg
O Seoul Irish Ale,오서울 브런치,The Booth Brewing,KR,ALE,Irish Red Ale,5.38,oseoul.jpg
Pride 50 Saison,프라이드50 세종,The Booth Brewing,KR,ETC,Saison,6.8,p50.jpg
Passionade,,Wild Waves Brewing,KR,ETC,Berliner Weisse,3.3,passionade.jpg
Blonde Ale,,Platinum Craft Beer,KR,ALE,Blonde Ale,4.7,pblonde.png
Pine City Saison,,Budnamu Brewery,KR,ETC,Belgian Saison,6.9,pcs.jpg
Perilla Leaf Saison,깻잎 한장 세종,The Hand and Malt Brewing Company,KR,ETC,Saison,6.1,perilla.jpg
Golden Ale,,Platinum Craft Beer,KR,ALE,Golden Ale,5,pgo.jpg
Pineapple Sour,,Gorilla Brewing Company,KR,ALE,Sour Ale,3.7,pgs.jpg
Pixie Juice,,Gorilla Brewing Company,KR,ETC,Sour,5.3,pj.jpg
Platinum Oatmeal Stout,,Platinum Craft Beer,KR,STOUT,Stout,4.5,pla.jpg
